#separator:tab
#html:true
#tags column:3
<u>This week</u> I was in France	<u>Deze week</u> was ik in Frankrijk	adverb sentence
The keys are <u>here</u>	De sleutels zijn <u>hier</u>	adverb
He lives <u>over there</u>	Hij woont <u>daar</u>	adverb
We eat <u>now</u>	We eten <u>nu</u>	adverb
<u>Then</u> we leave	<u>Dan</u> gaan we weg	adverb
She is <u>always</u> cheerful	Ze is <u>altijd</u> vrolijk	adverb
I <u>never</u> drink coffee	Ik drink <u>nooit</u> koffie	adverb
<u>Sometimes</u> it rains hard	<u>Soms</u> regent het hard	adverb
He <u>often</u> cycles to work	Hij fietst <u>vaak</u> naar het werk	adverb
She <u>rarely</u> goes out	Ze gaat <u>zelden</u> uit	adverb
Have you <u>already</u> eaten?	Heb je <u>al</u> gegeten?	adverb
I am <u>still</u> tired	Ik ben <u>nog</u> moe	adverb
It is <u>almost</u> ready	Het is <u>bijna</u> klaar	adverb
It is <u>very</u> good	Dit is <u>heel</u> lekker	adverb
It is <u>very</u> cold today	Het is <u>erg</u> koud vandaag	adverb
It is <u>really</u> beautiful	Dit is <u>echt</u> mooi	adverb
I <u>do</u> want to come	Ik wil <u>wel</u> komen	adverb
I do <u>not</u> understand	Ik begrijp het <u>niet</u>	adverb
I <u>also</u> speak French	Ik spreek <u>ook</u> Frans	adverb
We eat <u>together</u>	We eten <u>samen</u>	adverb
They live <u>separately</u>	Ze wonen <u>apart</u>	adverb
I stay <u>at home</u>	Ik blijf <u>thuis</u>	adverb
The children play <u>outside</u>	De kinderen spelen <u>buiten</u>	adverb
Come <u>inside</u>!	Kom <u>binnen</u>!	adverb
The cat is <u>upstairs</u>	De kat zit <u>boven</u>	adverb
He waits <u>downstairs</u>	Hij wacht <u>beneden</u>	adverb
She gets up <u>early</u>	Ze staat <u>vroeg</u> op	adverb
He always arrives <u>late</u>	Hij komt altijd <u>laat</u>	adverb
I <u>prefer</u> to eat fish	Ik eet <u>liever</u> vis	adverb
I <u>most prefer</u> to go home	Ik ga <u>het liefst</u> naar huis	adverb
He <u>maybe</u> comes tomorrow	Hij komt <u>misschien</u> morgen	adverb
That is <u>certainly</u> true	Dat is <u>zeker</u> waar	adverb
She is <u>probably</u> sick	Ze is <u>waarschijnlijk</u> ziek	adverb
<u>Of course</u> I'll help you	<u>Natuurlijk</u> help ik je	adverb
<u>Unfortunately</u> I can't come	<u>Helaas</u> kan ik niet komen	adverb
He came <u>anyway</u>	Hij is <u>toch</u> gekomen	adverb
<u>Just</u> act normal	Doe <u>gewoon</u> normaal	adverb
<u>Actually</u> you are right	<u>Eigenlijk</u> heb je gelijk	adverb
It lasts <u>about</u> an hour	Het duurt <u>ongeveer</u> een uur	adverb
I'm coming <u>right away</u>	Ik kom <u>meteen</u>	adverb
We'll talk <u>later</u>	We praten <u>straks</u>	adverb
There are flowers <u>everywhere</u>	Er zijn <u>overal</u> bloemen	adverb
I can't find my keys <u>anywhere</u>	Ik kan mijn sleutels <u>nergens</u> vinden	adverb
He lives <u>somewhere</u> in France	Hij woont <u>ergens</u> in Frankrijk	adverb
He has <u>finally</u> arrived	Hij is <u>eindelijk</u> aangekomen	adverb
He is late <u>once again</u>	Hij is <u>alweer</u> te laat	adverb
<u>Moreover</u> it is cheaper	<u>Bovendien</u> is het goedkoper	adverb
<u>Nevertheless</u> he succeeded	<u>Desondanks</u> is hij geslaagd	adverb
I exercise <u>daily</u>	Ik sport <u>dagelijks</u>	adverb
Have you <u>ever</u> eaten sushi?	Heb je <u>ooit</u> sushi gegeten?	adverb
He is <u>mostly</u> on time	Hij is <u>meestal</u> op tijd	adverb
<u>Suddenly</u> it started to rain	<u>Plotseling</u> begon het te regenen	adverb
It is <u>too</u> cold to swim	Het is <u>te</u> koud om te zwemmen	adverb
<u>Previously</u> I lived in Singapore	<u>Voorheen</u> woonde ik in Singapore	adverb
<u>From now on</u> I will study every day	<u>Voortaan</u> ga ik elke dag studeren	adverb
I have lived here <u>since</u> January	Ik woon hier <u>vanaf</u> januari	adverb
